image,R,G,B
Canon1DsMkIII_0092.tiff,0.37221381511614854,0.7712102925474484,0.5164218822876899
SamsungNX2000_0005.tiff,0.3398476240844544,0.8016497975108737,0.4917938537181272
Canon1DsMkIII_0078.tiff,0.34514629708105177,0.7714391570373068,0.5345611850862425
SonyA57_0011.tiff,0.274435026068555,0.8239808654650279,0.4957226541265341
Canon600D_0046.tiff,0.6227214815384263,0.75792604245947,0.19433494434175533
OlympusEPL6_0102.tiff,0.3571592697499198,0.7987189225393091,0.4842368622991742
SonyA57_0249.tiff,0.29995300177379813,0.8016421966166359,0.5171053909316193
SonyA57_0252.tiff,0.24754644970332307,0.788577208994341,0.5629091762389166
SamsungNX2000_0017.tiff,0.3112920231027406,0.7934506434686676,0.5230041612948794
SonyA57_0236.tiff,0.5004120386780398,0.8274598018745569,0.2547509918092708
FujifilmXM1_0027.tiff,0.4277465463481054,0.7843201933490652,0.44930471441122594
Canon1DsMkIII_0197.tiff,0.2943132841693573,0.7469496232090861,0.596192880827381
Canon600D_0044.tiff,0.3563759914792774,0.7747356763956548,0.5222841988964719
OlympusEPL6_0154.tiff,0.4021170718414008,0.7951728576287721,0.4538744176798142
Canon600D_0157.tiff,0.3493348602339745,0.7682348913395957,0.5364515888258226
SamsungNX2000_0117.tiff,0.2889951961258795,0.8177538185590699,0.4977554307571384
PanasonicGX1_0154.tiff,0.3313466199683289,0.791000432682664,0.5143225961703435
SamsungNX2000_0180.tiff,0.328378833215452,0.8005656211077163,0.5012604394887701
Canon1DsMkIII_0189.tiff,0.3482404994180572,0.7668248067096842,0.5391736922177468
FujifilmXM1_0085.tiff,0.6701270817269214,0.7228720785332875,0.1684804214534279
OlympusEPL6_0072.tiff,0.393770085085677,0.7984188027381643,0.4554915317827271
Canon1DsMkIII_0107.tiff,0.367351126615193,0.7681502365014709,0.5244028641581613
SonyA57_0232.tiff,0.3076593528297227,0.8107021883735557,0.498104089907646
PanasonicGX1_0116.tiff,0.5667308794532853,0.7711102044448725,0.2901812586558489
SamsungNX2000_0088.tiff,0.6624634476982324,0.7137883143434504,0.22726289351873336
FujifilmXM1_0105.tiff,0.4250740759056767,0.7829892378028149,0.4541364150537834
SonyA57_0059.tiff,0.29379863198304257,0.8045640548754815,0.5160998405804985
FujifilmXM1_0008.tiff,0.4050130028749295,0.7847892286547206,0.46911654638241146
SonyA57_0214.tiff,0.29060309482835844,0.7961751267137998,0.5307117945537344
Canon1DsMkIII_0103.tiff,0.3537858117447868,0.7647622025426265,0.5384926860879662
SonyA57_0179.tiff,0.23837398142157262,0.7817350449139535,0.5762535592381247
PanasonicGX1_0121.tiff,0.3152212421039584,0.7874228839059877,0.5297176327323975
Canon600D_0004.tiff,0.37388526020983226,0.7844425930577885,0.49483293180082405
Canon1DsMkIII_0043.tiff,0.341588488309326,0.770082011842574,0.5387865993981693
Canon1DsMkIII_0057.tiff,0.3632525950457827,0.7608767665416589,0.5376933125208223
SonyA57_0036.tiff,0.28932178692830185,0.8022201133740575,0.5222411256371224
PanasonicGX1_0135.tiff,0.5780719726107881,0.7727581837676113,0.2620640835789118
Canon1DsMkIII_0093.tiff,0.3497671434739287,0.7644188420376875,0.5415965096673439
FujifilmXM1_0055.tiff,0.3749776997676515,0.7775385427985765,0.5048024753699484
Canon600D_0156.tiff,0.5097024870730876,0.7502793897499033,0.42105131752319896
SamsungNX2000_0022.tiff,0.3578932530028408,0.8106529093070878,0.46341588242851495
SonyA57_0263.tiff,0.2903953018401008,0.7982031731068288,0.5277710328460504
FujifilmXM1_0043.tiff,0.4009034614683198,0.7863696752902136,0.46999909400623685
FujifilmXM1_0185.tiff,0.35957297086130335,0.7659131889475205,0.5329955587265396
Canon600D_0086.tiff,0.2783107170401958,0.7421696038606928,0.6096945332589382
Canon1DsMkIII_0258.tiff,0.3949009987320017,0.773660058829703,0.49548291047430487
FujifilmXM1_0070.tiff,0.4084952124137896,0.7951633321792128,0.44815949905437014
Canon1DsMkIII_0086.tiff,0.3320525445673539,0.7540367710373187,0.5667183211878365
OlympusEPL6_0149.tiff,0.40327258694042134,0.7987079637016394,0.446583485299178
SamsungNX2000_0115.tiff,0.5494659577246881,0.7905061933682634,0.27053118036209645
SonyA57_0081.tiff,0.28630076626518497,0.7930208362749163,0.5377265331651401
OlympusEPL6_0193.tiff,0.395983531514662,0.7994199477235082,0.45180171530320706
Canon1DsMkIII_0109.tiff,0.38539371296994623,0.7686948445011789,0.5104702949639157
PanasonicGX1_0153.tiff,0.33855926636991635,0.7917211607289849,0.5084832610902869
Canon600D_0028.tiff,0.36415079404132433,0.7843824242020233,0.5021338584501449
FujifilmXM1_0038.tiff,0.38447669008799185,0.7782449626298742,0.4965002043506207
SamsungNX2000_0134.tiff,0.6149767539651004,0.759837944899102,0.21083142454116677
Canon600D_0087.tiff,0.6122092310449866,0.762051787727619,0.2108955434437778
PanasonicGX1_0001.tiff,0.3991207787777203,0.8101096274304931,0.42944731398891517
PanasonicGX1_0043.tiff,0.3415653613223928,0.7884131191632198,0.5116032226990229
SamsungNX2000_0121.tiff,0.5727786105439961,0.7759908429840716,0.26412662665501785
Canon600D_0142.tiff,0.3483915033629439,0.7745872179092825,0.5278617264360673
PanasonicGX1_0082.tiff,0.4002726841567236,0.7980662977090398,0.4504131023615521
Canon1DsMkIII_0194.tiff,0.36802555285816163,0.8183315501229953,0.4414642301667715
OlympusEPL6_0173.tiff,0.3661912747397953,0.790368086959903,0.4911438052340548
FujifilmXM1_0196.tiff,0.4304939410418293,0.783742680667503,0.4476855785329595
SonyA57_0094.tiff,0.2894028723125908,0.7991993790219148,0.5268076784446181
OlympusEPL6_0021.tiff,0.3884374390426818,0.7981905840245314,0.4604434248901167
SonyA57_0242.tiff,0.2739795839836549,0.790944540710642,0.5471214865824363
Canon600D_0168.tiff,0.3479890683463491,0.7775115918243477,0.5238123069289314
SonyA57_0126.tiff,0.260241058007784,0.7832774543623314,0.5645803939339863
OlympusEPL6_0132.tiff,0.49580633464643475,0.8226800411005771,0.27816115562605137
FujifilmXM1_0158.tiff,0.43018822725585765,0.7833728790823655,0.4486257030628853
SamsungNX2000_0130.tiff,0.5509590331920213,0.7846513975420147,0.2841941731976155
SonyA57_0120.tiff,0.28576288229703367,0.7901989080613544,0.5421487441652291
Canon600D_0068.tiff,0.362744846324178,0.7723027744370755,0.5215022541293989
Canon1DsMkIII_0259.tiff,0.398840138694792,0.7755641137141198,0.4893126293942871
PanasonicGX1_0053.tiff,0.6244353627503362,0.7497531732096081,0.21897638459199117
SonyA57_0141.tiff,0.2635262985146082,0.793372742610064,0.5487381718766929
Canon600D_0165.tiff,0.3572494085337409,0.7752354975177203,0.5209441270335479
SamsungNX2000_0075.tiff,0.2928600054570154,0.7994317326162809,0.5245397240341748
Canon600D_0174.tiff,0.42575881666701926,0.7996146573800129,0.4234924199243052
PanasonicGX1_0192.tiff,0.2866695702721065,0.7585604108981359,0.5851552447838585
